iter	RMSE
238	201.5414903
239	201.437963
240	201.4037964
241	201.3189401
242	201.1787592
243	201.0964941
244	201.0347323
245	200.9710612
246	200.9499439
247	200.8877045
248	200.856821
249	200.837104
250	200.827796
251	200.7888813
252	200.744291
253	200.6313909
254	200.5685465
255	200.5061039
256	200.4244085
257	200.4067947
258	200.3758059
259	200.346119
260	200.3053215
261	200.2535943
262	200.2141769
263	200.1060038
264	200.0622884
265	200.0130718
266	200.0014837
267	199.9825555
268	199.8840362
269	199.8235951
270	199.8064398
271	199.7905512
272	199.7542443
273	199.6650492
274	199.6426257
275	199.6041171
276	199.5590159
277	199.5440513
278	199.5271259
279	199.5149216
280	199.3683068
281	199.3296233
282	199.3148395
283	199.2362887
284	199.1484755
285	199.1059664
286	199.0814393
287	199.0471711
288	199.0057163
289	198.89662
290	198.8304047
291	198.7699158
292	198.7249588
293	198.6224164
294	198.5834437
295	198.5221721
296	198.4735043
297	198.3787912
298	198.3267054
299	198.2984412
300	198.2309424
301	198.1181084
302	198.1057123
303	198.0864351
304	198.0620526
305	197.946081
306	197.9233942
307	197.8642164
308	197.81429
309	197.6912441
310	197.649295
311	197.5600509
312	197.5039084
313	197.4759096
314	197.3830994
315	197.3097282
316	197.2658353
317	197.1669492
318	197.1221415
319	197.0924871
320	197.056602
321	196.9984902
322	196.9300065
323	196.8776036
324	196.8664669
325	196.8399236
326	196.7991276
327	196.7939231
328	196.7725411
329	196.7395552
330	196.7223241
331	196.7014333
332	196.670958
333	196.5961901
334	196.5244524
335	196.4979557
336	196.4700473
337	196.4287446
338	196.4048918
339	196.3729172
340	196.3366601
341	196.3011276
342	196.2297328
343	196.1868116
344	196.1154006
345	196.0985899
346	196.0713692
347	196.0175879
348	195.9653068
349	195.9261775
350	195.9066853
351	195.8537669
352	195.7779124
353	195.7149961
354	195.6597491
355	195.6136361
356	195.5653413
357	195.5551216
358	195.532548
359	195.4496553
360	195.4079236
361	195.3807306
362	195.3745848
363	195.3651374
364	195.3296386
365	195.3205631
366	195.2829384
367	195.2663286
368	195.233847
369	195.1993915
370	195.1794601
371	195.1560153
372	195.117692
373	195.0158761
374	194.9526265
375	194.8965227
376	194.7995153
377	194.7577563
378	194.7203519
379	194.6977584
380	194.6409646
381	194.6061645
382	194.5458166
383	194.5315966
384	194.4631785
385	194.4377993
386	194.3846426
387	194.3015676
388	194.2555726
389	194.2334371
390	194.166793
391	194.1303622
392	194.1251662
393	194.0593548
394	194.0272683
395	194.0077188
396	193.9819174
397	193.9499028
398	193.8867333
399	193.8471338
400	193.7742395
401	193.746625
402	193.7159349
403	193.6858036
404	193.6576474
405	193.6271517
406	193.6128752
407	193.5990038
408	193.5640506
409	193.5310679
410	193.4856368
411	193.4431777
412	193.4086612
413	193.389275
414	193.3640375
415	193.3259111
416	193.2845463
417	193.2638385
418	193.2219098
419	193.2084529
420	193.189392
421	193.1633536
422	193.0890413
423	193.0713757
424	193.0275919
425	192.9984168
426	192.9821914
427	192.9632783
428	192.9466033
429	192.9286793
430	192.9103325
431	192.8721726
432	192.8346183
433	192.8191649
434	192.7533409
435	192.725235
436	192.7011529
437	192.6728457
438	192.6548596
439	192.6106108
440	192.5735903
441	192.5327511
442	192.5159215
443	192.4830184
444	192.4750664
445	192.4631619
446	192.4494233
447	192.3882923
448	192.3611573
449	192.3401856
450	192.3207505
451	192.2614208
452	192.2050012
453	192.1776957
454	192.1633615
455	192.1162821
456	192.0824806
457	192.0665169
458	192.0431672
459	192.0108867
460	191.9850951
461	191.9560004
462	191.9210776
463	191.8882681
464	191.8694255
465	191.8413902
466	191.816471
467	191.7920532
468	191.7509848
469	191.7271841
470	191.6666391
471	191.6395214
472	191.6162861
473	191.5891042
474	191.5535293
475	191.4858517
476	191.4273638
477	191.4030548
478	191.3862857
479	191.3669641
480	191.3443458
481	191.3221773
482	191.2761634
483	191.2574261
484	191.2357181
485	191.2006861
486	191.1590844
487	191.1016228
488	191.0791262
489	191.0450957
490	190.992482
491	190.9473591
492	190.9315008
493	190.8749903
494	190.8568528
495	190.8013213
496	190.782367
497	190.7544839
498	190.6999281
499	190.6744068
500	190.6208494
501	190.586551
502	190.552911
503	190.5001898
504	190.4508809
505	190.4337972
506	190.3910105
507	190.3391467
508	190.3067492
509	190.282338
510	190.2670715
511	190.2457214
512	190.1947119
513	190.1775226
514	190.1463885
515	190.1301268
516	190.1160285
517	190.0660039
518	190.0167518
519	189.9765403
520	189.9345125
521	189.8533719
522	189.8367541
523	189.8277924
524	189.8129303
525	189.8041664
526	189.7865671
527	189.7380937
528	189.720737
529	189.7073229
530	189.6747971
531	189.6556931
532	189.6253157
533	189.5792908
534	189.5663884
535	189.5318479
536	189.4804811
537	189.4378389
538	189.4235187
539	189.406988
540	189.3594302
541	189.2956868
542	189.2800125
543	189.2359954
544	189.1896358
545	189.1398332
546	189.0930115
547	189.0804123
548	189.0344323
549	188.9927975
550	188.9162203
551	188.8914304
552	188.8762867
553	188.8356629
554	188.7870737
555	188.7549775
556	188.7404067
557	188.6929465
558	188.6750272
559	188.6618207
560	188.6387397
561	188.6257436
562	188.593306
563	188.553388
564	188.5083539
565	188.4816414
566	188.437931
567	188.3915716
568	188.377577
569	188.3438647
570	188.2995092
571	188.2789468
572	188.2580478
573	188.2453817
574	188.2051731
575	188.1634737
576	188.1310093
577	188.089455
578	188.0445344
579	188.0008451
580	187.9569358
581	187.9446843
582	187.9203323
583	187.8773227
584	187.8584302
585	187.8465819
586	187.8346743
587	187.7920173
588	187.7662142
589	187.7475664
590	187.735848
591	187.7050366
592	187.6728924
593	187.6305751
594	187.5777271
595	187.5456593
596	187.5341869
597	187.5076018
598	187.4924872
599	187.4586626
600	187.4170944
601	187.4058167
602	187.3872235
603	187.345604
604	187.307388
605	187.2778174
606	187.2374179
607	187.2155352
608	187.1745375
609	187.1616027
610	187.1235577
611	187.1127604
612	187.0734083
613	187.0359701
614	187.0128522
615	186.9944101
616	186.9575653
617	186.918891
618	186.908255
619	186.8678871
620	186.8375096
621	186.8270374
622	186.8025214
623	186.7628065
624	186.7249903
625	186.6864218
626	186.6762489
627	186.6659703
628	186.6558535
629	186.6440237
630	186.6049114
631	186.5843338
632	186.5467661
633	186.5369091
634	186.5271888
635	186.5175158
636	186.4790044
637	186.4592358
638	186.4393293
639	186.4282001
640	186.4056883
641	186.3690143
642	186.332763
643	186.3233353
644	186.2825611
645	186.2446508
646	186.2188527
647	186.1933642
648	186.157344
649	186.134125
650	186.1248793
651	186.1041232
652	186.0769076
653	186.0678136
654	186.0488943
655	186.0115334
656	185.9922853
657	185.9676389
658	185.9587862
659	185.9405292
660	185.9037341
661	185.8866224
662	185.8627939
663	185.8395686
664	185.8033526
665	185.7801894
666	185.7695659
667	185.7484727
668	185.7398403
669	185.7268772
670	185.7076843
671	185.6783542
672	185.661461
673	185.6439274
674	185.6355123
675	185.6140585
676	185.5784996
677	185.561646
678	185.5449483
679	185.5366466
680	185.5023555
681	185.4876013
682	185.4794507
683	185.4634852
684	185.4429544
685	185.4160817
686	185.4049838
687	185.3728471
688	185.3550898
689	185.339053
690	185.3040277
691	185.2914119
692	185.2733332
693	185.2404047
694	185.2059148
695	185.2031757
696	185.1662799
697	185.1338652
698	185.0999229
699	185.0792831
700	185.0676139
701	185.051224
702	185.0331454
703	184.9997131
704	184.9687514
705	184.9660256
706	184.9283688
707	184.9170239
708	184.8775254
709	184.8445817
710	184.8060483
711	184.8034148
712	184.7704599
713	184.7387664
714	184.7324383
715	184.7012474
716	184.6791855
717	184.6674172
718	184.6349718
719	184.6037603
720	184.5933121
721	184.5763766
722	184.5598881
723	184.5356356
724	184.5188414
725	184.4869329
726	184.472426
727	184.4619592
728	184.4314007
729	184.4212568
730	184.4098331
731	184.3967421
732	184.3942136
733	184.3640556
734	184.3430843
735	184.3305341
736	184.3220995
737	184.310028
738	184.2863374
739	184.2729175
740	184.2575539
741	184.228781
742	184.2171595
743	184.1877266
744	184.1580855
745	184.1349705
746	184.1167957
747	184.1015346
748	184.0695929
749	184.0581937
750	184.0434112
751	184.0119753
752	183.9880749
753	183.9856329
754	183.9758358
755	183.9734328
756	183.9433687
757	183.912417
758	183.8975372
759	183.8816975
760	183.8594916
761	183.8402869
762	183.8065625
763	183.7977056
764	183.7793616
765	183.7501126
766	183.7200767
767	183.716695
768	183.6954022
769	183.6669782
770	183.5970411
771	183.5797498
772	183.562869
773	183.5463857
774	183.532059
775	183.5035507
776	183.4749159
777	183.4452965
778	183.4285783
779	183.4141165
780	183.3883103
781	183.3790674
782	183.360738
783	183.3315607
784	183.3028296
785	183.2834637
786	183.2634616
787	183.254
788	183.2265466
789	183.2242971
790	183.2133936
791	183.2041832
792	183.1921498
793	183.1782622
794	183.1597205
795	183.1314356
796	183.1114573
797	183.0835993
798	183.0561653
799	183.0426364
800	183.0222727
801	183.0068375
802	182.9767594
803	182.9501368
804	182.9239184
805	182.9140055
806	182.9010568
807	182.8876335
808	182.8683114
809	182.8424812
810	182.8317583
811	182.8078186
812	182.7952956
813	182.7931379
814	182.791016
815	182.7693803
816	182.7572752
817	182.7483069
818	182.7228667
819	182.7040745
820	182.7019307
821	182.6880438
822	182.620194
823	182.6040321
824	182.5789666
825	182.5632147
826	182.5496481
827	182.5249575
828	182.5102973
829	182.4859784
830	182.4726974
831	182.4567997
832	182.4328439
833	182.4051077
834	182.3918407
835	182.3751876
836	182.3605569
837	182.3520259
838	182.3056794
839	182.2787688
840	182.2625459
841	182.2361234
842	182.2302638
843	182.2202984
844	182.2018216
845	182.1870203
846	182.1671455
847	182.150992
848	182.1380637
849	182.1360475
850	182.1131808
851	182.0959272
852	182.0691086
853	182.0459499
854	182.0321572
855	182.0203898
856	181.9975788
857	181.9840595
858	181.978437
859	181.9636608
860	181.9616832
861	181.9454685
862	181.9368317
863	181.9234086
864	181.9067559
865	181.8952858
866	181.8774506
867	181.8644067
868	181.8589129
869	181.8462129
870	181.8237359
871	181.8187312
872	181.7965933
873	181.7752912
874	181.7518767
875	181.7364975
876	181.7090908
877	181.7037065
878	181.6774401
879	181.6574978
880	181.6379003
881	181.6191248
882	181.5998854
883	181.5914661
884	181.5728629
885	181.564719
886	181.5594505
887	181.5575284
888	181.5457172
889	181.5238599
890	181.506077
891	181.4928736
892	181.4800829
893	181.4711866
894	181.4588383
895	181.4482378
896	181.4361433
897	181.4258322
898	181.4207456
899	181.4137671
900	181.4043671
901	181.3985523
902	181.3796129
903	181.350224
904	181.3452698
905	181.3236323
906	181.3057829
907	181.2958071
908	181.2797707
909	181.27194
910	181.2670975
911	181.2580759
912	181.2537972
913	181.2393045
914	181.2183971
915	181.1904633
916	181.1851227
917	181.1651344
918	181.0935168
919	181.0857005
920	181.075943
921	181.0606915
922	181.0393694
923	181.0233441
924	181.0108119
925	180.9752587
926	180.9554795
927	180.9469834
928	180.9395776
929	180.9227992
930	180.9017997
931	180.8920947
932	180.8714119
933	180.8593013
934	180.8500358
935	180.8331505
936	180.8280622
937	180.7657588
938	180.7563713
939	180.7508323
940	180.7417094
941	180.7327406
942	180.7207675
943	180.7064595
944	180.6912751
945	180.6751933
946	180.6611377
947	180.6475971
948	180.635394
949	180.6313887
950	180.610996
951	180.5992
952	180.5900883
953	180.5819397
954	180.5618533
955	180.5532676
956	180.5427824
957	180.5316009
958	180.523837
959	180.5040487
960	180.4954491
961	180.4667312
962	180.4641341
963	180.45972
964	180.4479086
965	180.4287857
966	180.4229701
967	180.4146695
968	180.403338
969	180.399381
970	180.3918842
971	180.3777976
972	180.3583052
973	180.3508881
974	180.3428575
975	180.3357807
976	180.3277087
977	180.3141151
978	180.3074085
979	180.2943627
980	180.2825706
981	180.2749667
982	180.2677361
983	180.2555964
984	180.2430961
985	180.2248109
986	180.1979743
987	180.1895654
988	180.177017
989	180.1752516
990	180.1674338
991	180.1415865
992	180.1248766
993	180.1148765
994	180.1017735
995	180.0891109
996	180.0850087
997	180.073223
998	180.0557246
999	180.0483601
