iter	Passed	Remaining
399	7703	11555
400	7712	11521
401	7719	11483
402	7780	11526
403	7799	11506
404	7805	11467
405	7841	11471
406	7853	11441
407	7861	11407
408	7871	11374
409	7881	11342
410	7922	11353
411	7926	11313
412	7932	11274
413	7937	11235
414	7942	11196
415	7949	11159
416	7955	11122
417	7962	11086
418	7971	11053
419	7977	11015
420	7990	10988
421	7995	10951
422	8000	10913
423	8004	10874
424	8009	10836
425	8015	10799
426	8033	10780
427	8048	10756
428	8057	10724
429	8064	10689
430	8075	10661
431	8081	10625
432	8086	10589
433	8091	10552
434	8096	10516
435	8101	10480
436	8126	10469
437	8134	10437
438	8144	10408
439	8155	10379
440	8162	10346
441	8178	10324
442	8184	10290
443	8191	10257
444	8198	10224
445	8208	10196
446	8213	10160
447	8217	10125
448	8304	10190
449	8344	10198
450	8349	10163
451	8354	10128
452	8359	10094
453	8364	10059
454	8369	10025
455	8380	9997
456	8386	9964
457	8392	9931
458	8397	9897
459	8401	9863
460	8406	9829
461	8422	9808
462	8429	9777
463	8436	9745
464	8441	9712
465	8447	9680
466	8468	9665
467	8478	9637
468	8488	9611
469	8498	9583
470	8534	9585
471	8550	9565
472	8556	9532
473	8560	9499
474	8565	9467
475	8571	9436
476	8591	9420
477	8597	9389
478	8602	9357
479	8607	9324
480	8611	9292
481	8616	9260
482	8629	9237
483	8643	9214
484	8652	9187
485	8662	9161
486	8680	9143
487	8687	9114
488	8696	9087
489	8729	9086
490	8747	9068
491	8753	9037
492	8759	9007
493	8764	8977
494	8804	8982
495	8809	8951
496	8814	8921
497	8823	8894
498	8831	8866
499	8851	8851
500	8870	8834
501	8874	8804
502	8880	8774
503	8916	8775
504	8921	8744
505	8926	8714
506	8931	8684
507	8936	8655
508	8941	8624
509	8950	8599
510	8963	8577
511	8969	8548
512	8974	8519
513	8982	8493
514	8989	8465
515	8997	8439
516	9004	8412
517	9012	8386
518	9018	8358
519	9087	8388
520	9105	8371
521	9112	8344
522	9118	8316
523	9124	8288
524	9141	8270
525	9205	8295
526	9231	8285
527	9235	8256
528	9292	8274
529	9309	8255
530	9315	8227
531	9326	8204
532	9378	8216
533	9398	8201
534	9413	8182
535	9420	8154
536	9426	8127
537	9433	8100
538	9471	8100
539	9475	8071
540	9480	8043
541	9486	8016
542	9491	7988
543	9498	7961
544	9519	7947
545	9524	7919
546	9532	7894
547	9549	7876
548	9588	7877
549	9597	7852
550	9605	7827
551	9617	7805
552	9681	7826
553	9738	7839
554	9751	7818
555	9756	7791
556	9824	7813
557	9832	7788
558	9837	7761
559	9846	7736
560	9851	7709
561	9894	7710
562	9899	7683
563	9907	7659
564	9912	7632
565	9918	7605
566	9941	7591
567	10024	7624
568	10030	7597
569	10037	7572
570	10043	7545
571	10048	7519
572	10078	7510
573	10090	7489
574	10096	7462
575	10107	7439
576	10168	7454
577	10173	7427
578	10182	7404
579	10190	7379
580	10262	7401
581	10268	7375
582	10275	7349
583	10281	7323
584	10288	7298
585	10326	7295
586	10332	7269
587	10337	7243
588	10343	7217
589	10349	7192
590	10366	7174
591	10399	7167
592	10412	7146
593	10421	7123
594	10427	7097
595	10463	7092
596	10471	7068
597	10478	7044
598	10490	7022
599	10541	7027
600	10562	7012
601	10581	6995
602	10632	6999
603	10684	7004
604	10752	7020
605	10765	6999
606	10777	6977
607	10782	6952
608	10787	6926
609	10847	6935
610	10881	6928
611	10889	6904
612	10895	6878
613	10924	6868
614	10941	6849
615	10957	6830
616	11000	6828
617	11006	6803
618	11013	6779
619	11019	6753
620	11051	6744
621	11060	6721
622	11068	6698
623	11075	6673
624	11102	6661
625	11151	6662
626	11156	6637
627	11162	6612
628	11167	6586
629	11172	6561
630	11187	6542
631	11215	6530
632	11248	6521
633	11268	6504
634	11302	6496
635	11352	6497
636	11360	6473
637	11366	6449
638	11374	6426
639	11379	6401
640	11425	6398
641	11441	6379
642	11446	6355
643	11452	6330
644	11457	6306
645	11463	6281
646	11505	6277
647	11522	6259
648	11569	6257
649	11592	6242
650	11672	6257
651	11687	6238
652	11693	6213
653	11757	6220
654	11803	6217
655	11862	6220
656	11868	6195
657	11874	6171
658	11901	6158
659	11934	6148
660	11942	6124
661	11948	6100
662	11955	6076
663	12016	6080
664	12022	6056
665	12029	6032
666	12076	6029
